
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-06-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.5
Magnitude Max:, 8.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 500.0
Vs30 Max (m/sec):, 10000.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Normal+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
58, SRSS, 1527, 0.4812, 1.0, -, 20.8, 26.8, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU100", 7.62, Reverse Oblique, 11.37, 11.37, 535.13, 0.0375, 1.0, RSN1527_CHICHI_TCU100-E.AT2, RSN1527_CHICHI_TCU100-N.AT2 , RSN1527_CHICHI_TCU100-V.AT2  
59, SRSS, 1532, 0.4538, 1.0, -, 18.9, 28.0, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU105", 7.62, Reverse Oblique, 17.16, 17.16, 575.54, 0.0375, 1.0, RSN1532_CHICHI_TCU105-E.AT2, RSN1532_CHICHI_TCU105-N.AT2 , RSN1532_CHICHI_TCU105-V.AT2  
60, SRSS, 1555, 0.4567, 1.0, -, 11.2, 21.7, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU147", 7.62, Reverse Oblique, 70.61, 71.27, 537.92, 0.025, 1.0, RSN1555_CHICHI_TCU147-E.AT2, RSN1555_CHICHI_TCU147-N.AT2 , RSN1555_CHICHI_TCU147-V.AT2  
61, SRSS, 3745, 0.2552, 1.0, -, 5.8, 11.1, 0.4, "Cape Mendocino", 1992, "Butler Valley Station 2", 7.01, Reverse, 43.82, 45.43, 525.26, 0.25, 1.0, RSN3745_CAPEMEND_BVS060.AT2, RSN3745_CAPEMEND_BVS330.AT2 , RSN3745_CAPEMEND_BVS-UP.AT2  
62, SRSS, 4013, 0.2165, 1.0, -, 8.7, 18.8, 0.2, "San Simeon_ CA", 2003, "San Antonio Dam - Toe", 6.52, Reverse, 16.17, 19.01, 509.04, 0.25, 1.0, RSN4013_SANSIMEO_36258021.AT2, RSN4013_SANSIMEO_36258111.AT2 , RSN4013_SANSIMEO_36258-UP.AT2  
63, SRSS, 4213, 0.4649, 1.0, -, 2.6, 9.4, 0.6, "Niigata_ Japan", 2004, "NIG023", 6.63, Reverse, 25.33, 25.82, 654.76, 0.075, 1.0, RSN4213_NIIGATA_NIG023NS.AT2, RSN4213_NIIGATA_NIG023EW.AT2 , RSN4213_NIIGATA_NIG023UD.AT2  
64, SRSS, 4227, 0.3602, 1.0, -, 6.2, 13.8, 0.4, "Niigata_ Japan", 2004, "NIGH10", 6.63, Reverse, 39.17, 39.37, 653.28, 0.05375, 1.0, RSN4227_NIIGATA_NIGH10NS.AT2, RSN4227_NIIGATA_NIGH10EW.AT2 , RSN4227_NIIGATA_NIGH10UD.AT2  
65, SRSS, 4455, 0.4789, 1.0, -, 5.2, 12.1, 0.7, "Montenegro_ Yugoslavia", 1979, "Herceg Novi - O.S.D. Paviviv", 7.1, Reverse, 23.59, 25.55, 585.04, 0.625, 1.0, RSN4455_MONTENE.GRO_HRZ000.AT2, RSN4455_MONTENE.GRO_HRZ090.AT2 , RSN4455_MONTENE.GRO_HRZ-V.AT2  
66, SRSS, 4841, 0.2088, 1.0, -, 7.1, 15.8, 0.7, "Chuetsu-oki_ Japan", 2007, "Joetsu Yasuzukaku Yasuzuka", 6.8, Reverse, 20.65, 25.52, 655.45, 0.05, 1.0, RSN4841_CHUETSU_65004NS.AT2, RSN4841_CHUETSU_65004EW.AT2 , RSN4841_CHUETSU_65004UD.AT2  
67, SRSS, 4843, 0.1751, 1.0, -, 7.2, 19.9, 0.7, "Chuetsu-oki_ Japan", 2007, "Matsushiro Tokamachi", 6.8, Reverse, 18.16, 25.03, 640.14, 0.05, 1.0, RSN4843_CHUETSU_65006NS.AT2, RSN4843_CHUETSU_65006EW.AT2 , RSN4843_CHUETSU_65006UD.AT2  
68, SRSS, 4844, 0.2818, 1.0, -, 12.1, 24.2, 0.3, "Chuetsu-oki_ Japan", 2007, "Tokamachi Matsunoyama", 6.8, Reverse, 23.01, 28.75, 640.14, 0.05, 1.0, RSN4844_CHUETSU_65007NS.AT2, RSN4844_CHUETSU_65007EW.AT2 , RSN4844_CHUETSU_65007UD.AT2  
69, SRSS, 4846, 0.4331, 1.0, -, 4.3, 10.0, 1.0, "Chuetsu-oki_ Japan", 2007, "Joetsu Yanagishima paddocks", 6.8, Reverse, 28.07, 31.43, 605.71, 0.075, 1.0, RSN4846_CHUETSU_65009NS.AT2, RSN4846_CHUETSU_65009EW.AT2 , RSN4846_CHUETSU_65009UD.AT2  
70, SRSS, 4851, 0.4272, 1.0, -, 15.0, 27.1, 0.1, "Chuetsu-oki_ Japan", 2007, "Joetsu Itakuraku needle", 6.8, Reverse, 34.95, 36.73, 572.37, 0.075, 1.0, RSN4851_CHUETSU_65017NS.AT2, RSN4851_CHUETSU_65017EW.AT2 , RSN4851_CHUETSU_65017UD.AT2  
71, SRSS, 4852, 0.1712, 1.0, -, 4.9, 14.7, 0.4, "Chuetsu-oki_ Japan", 2007, "Joetsu_ Aramaki District", 6.8, Reverse, 30.26, 32.54, 605.71, 0.0875, 1.0, RSN4852_CHUETSU_65018NS.AT2, RSN4852_CHUETSU_65018EW.AT2 , RSN4852_CHUETSU_65018UD.AT2  
72, SRSS, 4854, 0.084, 1.0, -, 7.0, 21.1, 0.3, "Chuetsu-oki_ Japan", 2007, "Nadachiku Joetsu City", 6.8, Reverse, 35.79, 35.93, 570.62, 0.1, 1.0, RSN4854_CHUETSU_65020NS.AT2, RSN4854_CHUETSU_65020EW.AT2 , RSN4854_CHUETSU_65020UD.AT2  
73, SRSS, 4858, 0.2166, 1.0, -, 4.7, 17.0, 0.5, "Chuetsu-oki_ Japan", 2007, "Tokamachi Chitosecho", 6.8, Reverse, 25.35, 30.65, 640.14, 0.0625, 1.0, RSN4858_CHUETSU_65028NS.AT2, RSN4858_CHUETSU_65028EW.AT2 , RSN4858_CHUETSU_65028UD.AT2  
74, SRSS, 4869, 0.0763, 1.0, -, 9.9, 22.5, 0.5, "Chuetsu-oki_ Japan", 2007, "Kawaguchi", 6.8, Reverse, 23.63, 29.25, 640.14, 0.0625, 1.0, RSN4869_CHUETSU_65042NS.AT2, RSN4869_CHUETSU_65042EW.AT2 , RSN4869_CHUETSU_65042UD.AT2  
75, SRSS, 4870, 0.1179, 1.0, -, 8.8, 18.9, 0.4, "Chuetsu-oki_ Japan", 2007, "Horinouchi Uonuma City", 6.8, Reverse, 29.9, 34.51, 561.59, 0.1, 1.0, RSN4870_CHUETSU_65043NS.AT2, RSN4870_CHUETSU_65043EW.AT2 , RSN4870_CHUETSU_65043UD.AT2  
76, SRSS, 4872, 0.1531, 1.0, -, 8.0, 22.7, 0.3, "Chuetsu-oki_ Japan", 2007, "Sawa Mizuguti Tokamachi", 6.8, Reverse, 21.17, 27.3, 640.14, 0.0875, 1.0, RSN4872_CHUETSU_65053NS.AT2, RSN4872_CHUETSU_65053EW.AT2 , RSN4872_CHUETSU_65053UD.AT2  
77, SRSS, 4887, 0.2334, 1.0, -, 4.7, 16.1, 0.4, "Chuetsu-oki_ Japan", 2007, "Joetsu Nakanomata", 6.8, Reverse, 36.62, 36.79, 561.59, 0.075, 1.0, RSN4887_CHUETSU_6CB61NS.AT2, RSN4887_CHUETSU_6CB61EW.AT2 , RSN4887_CHUETSU_6CB61UD.AT2  
78, SRSS, 4890, 0.2881, 1.0, -, 3.3, 8.4, 0.7, "Chuetsu-oki_ Japan", 2007, "Iizuna Mure", 6.8, Reverse, 66.1, 68.27, 526.13, 0.0625, 1.0, RSN4890_CHUETSU_70025NS.AT2, RSN4890_CHUETSU_70025EW.AT2 , RSN4890_CHUETSU_70025UD.AT2  
79, SRSS, 4892, 0.4193, 1.0, -, 7.6, 17.1, 0.2, "Chuetsu-oki_ Japan", 2007, "Nagano Togakushi", 6.8, Reverse, 77.51, 78.94, 655.45, 0.075, 1.0, RSN4892_CHUETSU_70027NS.AT2, RSN4892_CHUETSU_70027EW.AT2 , RSN4892_CHUETSU_70027UD.AT2  
80, SRSS, 4893, 0.1782, 1.0, -, 5.3, 16.9, 0.5, "Chuetsu-oki_ Japan", 2007, "Toyotsu Nakano", 6.8, Reverse, 61.16, 63.54, 561.59, 0.0625, 1.0, RSN4893_CHUETSU_70031NS.AT2, RSN4893_CHUETSU_70031EW.AT2 , RSN4893_CHUETSU_70031UD.AT2  
81, SRSS, 5472, 0.2195, 1.0, -, 9.2, 23.4, 0.7, "Iwate_ Japan", 2008, "AKT017", 6.9, Reverse, 31.44, 33.76, 643.62, 0.0375, 1.0, RSN5472_IWATE_AKT017NS.AT2, RSN5472_IWATE_AKT017EW.AT2 , RSN5472_IWATE_AKT017UD.AT2  
82, SRSS, 5474, 0.2136, 1.0, -, 9.5, 18.5, 0.8, "Iwate_ Japan", 2008, "AKT019", 6.9, Reverse, 26.03, 28.79, 640.14, 0.025, 1.0, RSN5474_IWATE_AKT019NS.AT2, RSN5474_IWATE_AKT019EW.AT2 , RSN5474_IWATE_AKT019UD.AT2  
83, SRSS, 5623, 0.158, 1.0, -, 6.5, 16.5, 0.5, "Iwate_ Japan", 2008, "IWT015", 6.9, Reverse, 17.05, 21.02, 567.45, 0.0875, 1.0, RSN5623_IWATE_IWT015NS.AT2, RSN5623_IWATE_IWT015EW.AT2 , RSN5623_IWATE_IWT015UD.AT2  
84, SRSS, 5668, 0.3541, 1.0, -, 16.4, 59.1, 0.2, "Iwate_ Japan", 2008, "MYG009", 6.9, Reverse, 43.16, 43.17, 540.42, 0.1, 1.0, RSN5668_IWATE_MYG009NS.AT2, RSN5668_IWATE_MYG009EW.AT2 , RSN5668_IWATE_MYG009UD.AT2  
85, SRSS, 5681, 0.35, 1.0, -, 11.0, 32.0, 0.2, "Iwate_ Japan", 2008, "MYGH06", 6.9, Reverse, 34.46, 34.47, 593.12, 0.05, 1.0, RSN5681_IWATE_MYGH06NS.AT2, RSN5681_IWATE_MYGH06EW.AT2 , RSN5681_IWATE_MYGH06UD.AT2  
86, SRSS, 5773, 0.1662, 1.0, -, 9.9, 17.7, 0.8, "Iwate_ Japan", 2008, "Miyagi Great Village", 6.9, Reverse, 41.12, 41.13, 531.25, 0.1, 1.0, RSN5773_IWATE_54007NS.AT2, RSN5773_IWATE_54007EW.AT2 , RSN5773_IWATE_54007UD.AT2  
87, SRSS, 5775, 0.3976, 1.0, -, 8.0, 17.3, 0.9, "Iwate_ Japan", 2008, "Tamati Ono", 6.9, Reverse, 28.9, 28.91, 561.59, 0.1, 1.0, RSN5775_IWATE_54009NS.AT2, RSN5775_IWATE_54009EW.AT2 , RSN5775_IWATE_54009UD.AT2  
88, SRSS, 5779, 0.2245, 1.0, -, 16.2, 29.1, 0.2, "Iwate_ Japan", 2008, "Sanbongi Osaki City", 6.9, Reverse, 36.33, 36.34, 539.87, 0.0875, 1.0, RSN5779_IWATE_54013NS.AT2, RSN5779_IWATE_54013EW.AT2 , RSN5779_IWATE_54013UD.AT2  
89, SRSS, 5787, 0.3745, 1.0, -, 11.1, 19.4, 0.2, "Iwate_ Japan", 2008, "Ishinomaki", 6.9, Reverse, 48.23, 48.24, 530.83, 0.05, 1.0, RSN5787_IWATE_54042NS.AT2, RSN5787_IWATE_54042EW.AT2 , RSN5787_IWATE_54042UD.AT2  
90, SRSS, 5789, 0.2269, 1.0, -, 14.2, 25.3, 0.5, "Iwate_ Japan", 2008, "Enda Zao Town", 6.9, Reverse, 83.33, 83.34, 558.33, 0.0625, 1.0, RSN5789_IWATE_54060NS.AT2, RSN5789_IWATE_54060EW.AT2 , RSN5789_IWATE_54060UD.AT2  
91, SRSS, 5791, 0.2, 1.0, -, 13.1, 21.3, 0.6, "Iwate_ Japan", 2008, "Maekawa Miyagi Kawasaki City", 6.9, Reverse, 74.82, 74.82, 640.14, 0.1, 1.0, RSN5791_IWATE_54065NS.AT2, RSN5791_IWATE_54065EW.AT2 , RSN5791_IWATE_54065UD.AT2  
92, SRSS, 5792, 0.3692, 1.0, -, 7.0, 18.4, 0.3, "Iwate_ Japan", 2008, "Rifu Town", 6.9, Reverse, 57.77, 57.78, 520.7, 0.05, 1.0, RSN5792_IWATE_54071NS.AT2, RSN5792_IWATE_54071EW.AT2 , RSN5792_IWATE_54071UD.AT2  
93, SRSS, 5795, 0.2432, 1.0, -, 7.4, 17.1, 0.3, "Iwate_ Japan", 2008, "Izumi-ku Sendai Shogen", 6.9, Reverse, 55.62, 55.63, 502.99, 0.075, 1.0, RSN5795_IWATE_54083NS.AT2, RSN5795_IWATE_54083EW.AT2 , RSN5795_IWATE_54083UD.AT2  
94, SRSS, 5799, 0.1942, 1.0, -, 6.8, 20.3, 0.4, "Iwate_ Japan", 2008, "Misato_ Akita City - Tsuchizaki", 6.9, Reverse, 39.86, 41.72, 552.38, 0.075, 1.0, RSN5799_IWATE_55432NS.AT2, RSN5799_IWATE_55432EW.AT2 , RSN5799_IWATE_55432UD.AT2  
95, SRSS, 5804, 0.2799, 1.0, -, 7.0, 9.9, 1.0, "Iwate_ Japan", 2008, "Yamauchi Tsuchibuchi Yokote", 6.9, Reverse, 25.61, 28.41, 561.59, 0.05, 1.0, RSN5804_IWATE_55446NS.AT2, RSN5804_IWATE_55446EW.AT2 , RSN5804_IWATE_55446UD.AT2  
96, SRSS, 5806, 0.3855, 1.0, -, 9.2, 17.4, 0.7, "Iwate_ Japan", 2008, "Yuzawa Town", 6.9, Reverse, 22.41, 25.56, 655.45, 0.2375, 1.0, RSN5806_IWATE_55461NS.AT2, RSN5806_IWATE_55461EW.AT2 , RSN5806_IWATE_55461UD.AT2  
97, SRSS, 5807, 0.4171, 1.0, -, 8.0, 13.3, 1.6, "Iwate_ Japan", 2008, "Yuzama Yokobori", 6.9, Reverse, 27.1, 29.75, 570.62, 0.1625, 1.0, RSN5807_IWATE_55462NS.AT2, RSN5807_IWATE_55462EW.AT2 , RSN5807_IWATE_55462UD.AT2  
98, SRSS, 5809, 0.2783, 1.0, -, 7.7, 11.5, 0.9, "Iwate_ Japan", 2008, "Minase Yuzawa", 6.9, Reverse, 17.34, 21.25, 655.45, 0.2375, 1.0, RSN5809_IWATE_55465NS.AT2, RSN5809_IWATE_55465EW.AT2 , RSN5809_IWATE_55465UD.AT2  
99, SRSS, 5810, 0.4734, 1.0, -, 15.9, 27.3, 0.5, "Iwate_ Japan", 2008, "Machimukai Town", 6.9, Reverse, 21.07, 24.1, 655.45, 0.1875, 1.0, RSN5810_IWATE_56362NS.AT2, RSN5810_IWATE_56362EW.AT2 , RSN5810_IWATE_56362UD.AT2  
100, SRSS, 5815, 0.2983, 1.0, -, 8.6, 18.5, 0.9, "Iwate_ Japan", 2008, "Yuzawa", 6.9, Reverse, 22.41, 25.56, 655.45, 0.1, 1.0, RSN5815_IWATE_44BC1NS.AT2, RSN5815_IWATE_44BC1EW.AT2 , RSN5815_IWATE_44BC1UD.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-14 SRSS pSa (g),RSN-72 SRSS pSa (g),RSN-285 SRSS pSa (g),RSN-288 SRSS pSa (g),RSN-291 SRSS pSa (g),RSN-572 SRSS pSa (g),RSN-587 SRSS pSa (g),RSN-734 SRSS pSa (g),RSN-748 SRSS pSa (g),RSN-750 SRSS pSa (g),RSN-751 SRSS pSa (g),RSN-755 SRSS pSa (g),RSN-769 SRSS pSa (g),RSN-771 SRSS pSa (g),RSN-793 SRSS pSa (g),RSN-794 SRSS pSa (g),RSN-796 SRSS pSa (g),RSN-797 SRSS pSa (g),RSN-801 SRSS pSa (g),RSN-804 SRSS pSa (g),RSN-942 SRSS pSa (g),RSN-950 SRSS pSa (g),RSN-954 SRSS pSa (g),RSN-957 SRSS pSa (g),RSN-989 SRSS pSa (g),RSN-1011 SRSS pSa (g),RSN-1020 SRSS pSa (g),RSN-1023 SRSS pSa (g),RSN-1058 SRSS pSa (g),RSN-1078 SRSS pSa (g),RSN-1089 SRSS pSa (g),RSN-1091 SRSS pSa (g),RSN-1184 SRSS pSa (g),RSN-1206 SRSS pSa (g),RSN-1211 SRSS pSa (g),RSN-1227 SRSS pSa (g),RSN-1234 SRSS pSa (g),RSN-1235 SRSS pSa (g),RSN-1257 SRSS pSa (g),RSN-1259 SRSS pSa (g),RSN-1267 SRSS pSa (g),RSN-1268 SRSS pSa (g),RSN-1271 SRSS pSa (g),RSN-1280 SRSS pSa (g),RSN-1281 SRSS pSa (g),RSN-1284 SRSS pSa (g),RSN-1293 SRSS pSa (g),RSN-1301 SRSS pSa (g),RSN-1303 SRSS pSa (g),RSN-1350 SRSS pSa (g),RSN-1434 SRSS pSa (g),RSN-1475 SRSS pSa (g),RSN-1484 SRSS pSa (g),RSN-1488 SRSS pSa (g),RSN-1490 SRSS pSa (g),RSN-1497 SRSS pSa (g),RSN-1519 SRSS pSa (g),RSN-1527 SRSS pSa (g),RSN-1532 SRSS pSa (g),RSN-1555 SRSS pSa (g),RSN-3745 SRSS pSa (g),RSN-4013 SRSS pSa (g),RSN-4213 SRSS pSa (g),RSN-4227 SRSS pSa (g),RSN-4455 SRSS pSa (g),RSN-4841 SRSS pSa (g),RSN-4843 SRSS pSa (g),RSN-4844 SRSS pSa (g),RSN-4846 SRSS pSa (g),RSN-4851 SRSS pSa (g),RSN-4852 SRSS pSa (g),RSN-4854 SRSS pSa (g),RSN-4858 SRSS pSa (g),RSN-4869 SRSS pSa (g),RSN-4870 SRSS pSa (g),RSN-4872 SRSS pSa (g),RSN-4887 SRSS pSa (g),RSN-4890 SRSS pSa (g),RSN-4892 SRSS pSa (g),RSN-4893 SRSS pSa (g),RSN-5472 SRSS pSa (g),RSN-5474 SRSS pSa (g),RSN-5623 SRSS pSa (g),RSN-5668 SRSS pSa (g),RSN-5681 SRSS pSa (g),RSN-5773 SRSS pSa (g),RSN-5775 SRSS pSa (g),RSN-5779 SRSS pSa (g),RSN-5787 SRSS pSa (g),RSN-5789 SRSS pSa (g),RSN-5791 SRSS pSa (g),RSN-5792 SRSS pSa (g),RSN-5795 SRSS pSa (g),RSN-5799 SRSS pSa (g),RSN-5804 SRSS pSa (g),RSN-5806 SRSS pSa (g),RSN-5807 SRSS pSa (g),RSN-5809 SRSS pSa (g),RSN-5810 SRSS pSa (g),RSN-5815 SRSS pSa (g)
0.01,0.36560463,0.22854473,0.34229009,0.15259774,0.16046622,0.25398795,0.23099181,0.28687853,0.13918041,0.19843003,0.37486621,0.11580912,0.15499378,0.12793347,0.13505249,0.5086304,0.21238133,0.26427139,0.13228289,0.14994286,0.22383458,0.12217119,0.37923688,0.11840304,0.13001254,0.16780328,0.30865512,0.19650131,0.28612544,0.19480742,0.31539486,0.27665798,0.26385393,0.36991809,0.37926555,0.20937759,0.28441587,0.12000584,0.17610609,0.28341898,0.22906352,0.18599637,0.14635621,0.12715232,0.13236629,0.11820256,0.14672935,0.13666569,0.18983283,0.10798126,0.1141734,0.15089091,0.14953059,0.26327084,0.13840487,0.14973571,0.33071309,0.21543908,0.19605219,0.15305031,0.16664008,0.15831885,0.17000224,0.17597176,0.21455819,0.15262229,0.49567385,0.25833637,0.3407587,0.2750358,0.27137467,0.15337859,0.43541077,0.12277774,0.3194558,0.22606309,0.32802751,0.25963749,0.26015067,0.19445398,0.21090675,0.34718269,0.1381101,0.32574418,0.27109629,0.24271739,0.32133305,0.14278949,0.13038238,0.28368598,0.38023417,0.17775284,0.13113007,0.20368291,0.25291771,0.18194457,0.20295493,0.26688397,0.39432039,0.31044416,0.48112404,0.32910338,0.23494555,0.28076593
0.02,0.36800656,0.23042117,0.3460698,0.15341968,0.15973219,0.25237039,0.232021,0.29467209,0.1422026,0.1968775,0.37719096,0.11672917,0.15528768,0.12814199,0.13582844,0.51508566,0.21430872,0.26479761,0.13267794,0.15056524,0.22454739,0.12404053,0.38723312,0.11938691,0.13075881,0.16668476,0.30707022,0.19510841,0.28389794,0.19054796,0.31134779,0.27870288,0.26719329,0.3725018,0.39176567,0.21073286,0.28652908,0.1203137,0.1765424,0.28362215,0.22957591,0.18722674,0.14650307,0.12745923,0.13335613,0.11894485,0.14718376,0.13725245,0.19517159,0.10862038,0.11467693,0.15269246,0.15099613,0.26525634,0.13855508,0.15009637,0.33239264,0.21696154,0.19723861,0.1535116,0.16713491,0.15957449,0.17053074,0.17629276,0.21505854,0.15363095,0.49457697,0.26466851,0.34733192,0.2739889,0.26873052,0.15257931,0.44372419,0.12253441,0.31510866,0.22501545,0.32959228,0.26921785,0.31792766,0.19374451,0.21076855,0.34604754,0.1377419,0.32485301,0.27619131,0.247419,0.32347103,0.14395697,0.13118522,0.28883533,0.38450032,0.17716581,0.13074804,0.20299492,0.27055811,0.18154328,0.20071141,0.26352714,0.39352621,0.3175245,0.48616631,0.32560976,0.23661483,0.27880478
0.022,0.36833807,0.23231623,0.34960233,0.15437778,0.15978457,0.26173054,0.23418655,0.29800012,0.14353821,0.19734752,0.38211323,0.11725325,0.15533516,0.12820621,0.13607794,0.51626651,0.21540531,0.26493597,0.13290341,0.15073628,0.22454449,0.12525008,0.3906898,0.12077078,0.13610221,0.16702463,0.3073926,0.19611482,0.2865727,0.19229583,0.31170022,0.29193745,0.27119857,0.3861806,0.39727638,0.21889549,0.28662767,0.12036139,0.17699836,0.28384748,0.22962448,0.18753396,0.14654192,0.12779343,0.13355669,0.11895557,0.14735181,0.1374047,0.19549774,0.10964812,0.11484793,0.1531604,0.1528274,0.2672567,0.13859622,0.1506984,0.33295051,0.21762762,0.19808708,0.16665732,0.16725651,0.1602129,0.1707924,0.17634851,0.21501589,0.15373803,0.49512816,0.26653192,0.3493376,0.27393554,0.26911693,0.1526549,0.4469987,0.12275808,0.316391,0.22600274,0.33026619,0.27380967,0.33698912,0.19395641,0.21102169,0.34667598,0.13786109,0.32496462,0.2778117,0.25220268,0.32501685,0.1446972,0.13147962,0.29170763,0.3885625,0.17743981,0.13092172,0.20321222,0.27743328,0.1815764,0.20080414,0.26513901,0.39669457,0.31944405,0.49723529,0.32590011,0.23481052,0.27954883
0.025,0.36878316,0.235535,0.35552421,0.15604208,0.15987178,0.27414216,0.23691263,0.30098146,0.1490878,0.19803106,0.37522072,0.11907279,0.15568915,0.12829571,0.13658362,0.51895384,0.21817954,0.26519364,0.13345864,0.15140173,0.22537143,0.12561445,0.39211963,0.12027393,0.13471931,0.16724642,0.31032626,0.197943,0.28716985,0.19453627,0.31229368,0.28536468,0.27157063,0.404586,0.40743393,0.24570423,0.28956882,0.12059545,0.17692895,0.28386519,0.22985139,0.18746017,0.14662026,0.12794146,0.13381316,0.12135593,0.14762342,0.13749405,0.20086876,0.11162986,0.11485106,0.15662035,0.15399171,0.26589709,0.13867723,0.15129977,0.33367288,0.21858036,0.19913551,0.19625209,0.16742365,0.15960371,0.1707554,0.17650815,0.21522648,0.1539111,0.49604358,0.27033656,0.35471117,0.27904778,0.26993277,0.15285033,0.45147455,0.12323827,0.32004053,0.22835229,0.33297187,0.29308154,0.37484239,0.19434113,0.21155101,0.35555285,0.13812,0.3250529,0.28060164,0.26178293,0.3275445,0.14651763,0.13211095,0.29289414,0.38911345,0.17845159,0.13160127,0.20390294,0.29149508,0.18216628,0.2011257,0.27189005,0.40550565,0.32707793,0.51033899,0.34218807,0.23336974,0.28090669
0.029,0.36930061,0.23927321,0.36521621,0.15676102,0.16001824,0.29919095,0.23769351,0.32076543,0.15022166,0.19856516,0.38541162,0.12032534,0.15588341,0.12845374,0.13724216,0.51337675,0.22242168,0.26585142,0.13250427,0.15215385,0.22592784,0.12552986,0.38830707,0.11972291,0.13584112,0.16882724,0.31460813,0.20102206,0.28601271,0.19609251,0.31426993,0.2855521,0.26574695,0.41700507,0.40209214,0.2349535,0.29241876,0.12081906,0.17758709,0.28393162,0.23262079,0.190621,0.14673733,0.12753058,0.13571579,0.11989142,0.14804722,0.13807742,0.19917497,0.11001013,0.11615788,0.15770749,0.15239956,0.26969963,0.13876858,0.15237518,0.33588715,0.21666845,0.19701214,0.2054092,0.16774792,0.15940585,0.17165202,0.17689054,0.21579233,0.15516352,0.4967925,0.27717769,0.37509024,0.27842842,0.27221915,0.1532016,0.43956149,0.12376851,0.32667249,0.23099125,0.35599504,0.2802084,0.38610031,0.19557585,0.21231098,0.35119739,0.13783153,0.32526286,0.28281047,0.28001042,0.33239902,0.15234963,0.13415719,0.31113111,0.41040497,0.18182922,0.13234092,0.20375495,0.30854422,0.18334548,0.20364768,0.27434051,0.4683065,0.327538,0.55134145,0.3798666,0.23418919,0.2831165
0.03,0.36941891,0.24070019,0.36863003,0.15716728,0.16005223,0.31874159,0.24260738,0.32940128,0.14981195,0.19868546,0.3846103,0.11969887,0.15585521,0.1285513,0.13722403,0.5119061,0.22122872,0.26611445,0.13293008,0.15211921,0.22597585,0.12822005,0.3979208,0.12051496,0.13454059,0.16920368,0.31564003,0.20255804,0.28749309,0.19655513,0.31687094,0.28764477,0.26331185,0.41900659,0.39747058,0.23015011,0.29322686,0.12091052,0.17719731,0.28402839,0.23363208,0.19072335,0.14677121,0.12813996,0.13581481,0.12086805,0.1481965,0.13787564,0.19892294,0.11278205,0.11669931,0.16125121,0.15139319,0.27356987,0.13872693,0.15348159,0.33506272,0.21730657,0.19775624,0.20093792,0.16777128,0.16008514,0.17199285,0.17699693,0.21589701,0.15572294,0.49819403,0.27808877,0.37914205,0.27831105,0.27287446,0.15314819,0.43470432,0.12525719,0.32976968,0.2292182,0.36043911,0.28721998,0.39863899,0.19653313,0.21250911,0.35039705,0.13790639,0.32541548,0.28471654,0.28479889,0.33587217,0.15715111,0.13494069,0.30593007,0.4275677,0.18150242,0.13273966,0.20372467,0.31131116,0.18284078,0.20373125,0.2811756,0.48316684,0.31541918,0.55892745,0.38991005,0.23673452,0.28373416
