
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-06-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.5
Magnitude Max:, 8.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 500.0
Vs30 Max (m/sec):, 10000.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Normal+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
31, SRSS, 1089, 0.3249, 1.0, -, 5.6, 9.3, 1.0, "Northridge-01", 1994, "Topanga - Fire Sta", 6.69, Reverse, 10.31, 22.28, 505.97, 0.168, 1.0, RSN1089_NORTHR_TPF360.AT2, RSN1089_NORTHR_TPF270.AT2 , RSN1089_NORTHR_TPF-UP.AT2  
32, SRSS, 1091, 0.1197, 1.0, -, 4.3, 8.3, 0.4, "Northridge-01", 1994, "Vasquez Rocks Park", 6.69, Reverse, 23.1, 23.64, 996.43, 0.25, 1.0, RSN1091_NORTHR_VAS000.AT2, RSN1091_NORTHR_VAS090.AT2 , RSN1091_NORTHR_VAS-UP.AT2  
33, SRSS, 1184, 0.2233, 1.0, -, 6.9, 29.8, 0.7, "Chi-Chi_ Taiwan", 1999, "CHY010", 7.62, Reverse Oblique, 19.93, 19.96, 538.69, 0.0375, 1.0, RSN1184_CHICHI_CHY010-N.AT2, RSN1184_CHICHI_CHY010-W.AT2 , RSN1184_CHICHI_CHY010-V.AT2  
34, SRSS, 1206, 0.4617, 1.0, -, 24.2, 37.1, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY042", 7.62, Reverse Oblique, 27.47, 28.17, 665.2, 0.075, 1.0, RSN1206_CHICHI_CHY042-E.AT2, RSN1206_CHICHI_CHY042-N.AT2 , RSN1206_CHICHI_CHY042-V.AT2  
35, SRSS, 1211, 0.2082, 1.0, -, 20.1, 34.5, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY052", 7.62, Reverse Oblique, 38.7, 39.02, 573.04, 0.0375, 1.0, RSN1211_CHICHI_CHY052-N.AT2, RSN1211_CHICHI_CHY052-W.AT2 , RSN1211_CHICHI_CHY052-V.AT2  
36, SRSS, 1227, 0.4819, 1.0, -, 19.1, 32.0, 1.1, "Chi-Chi_ Taiwan", 1999, "CHY074", 7.62, Reverse Oblique, 0.7, 10.8, 553.43, 0.025, 1.0, RSN1227_CHICHI_CHY074-E.AT2, RSN1227_CHICHI_CHY074-N.AT2 , RSN1227_CHICHI_CHY074-V.AT2  
37, SRSS, 1234, 0.2287, 1.0, -, 23.6, 31.4, 1.0, "Chi-Chi_ Taiwan", 1999, "CHY086", 7.62, Reverse Oblique, 27.57, 28.42, 665.2, 0.125, 1.0, RSN1234_CHICHI_CHY086-E.AT2, RSN1234_CHICHI_CHY086-N.AT2 , RSN1234_CHICHI_CHY086-V.AT2  
38, SRSS, 1235, 0.1732, 1.0, -, 19.0, 31.9, 0.6, "Chi-Chi_ Taiwan", 1999, "CHY087", 7.62, Reverse Oblique, 28.79, 28.91, 505.2, 0.0375, 1.0, RSN1235_CHICHI_CHY087-E.AT2, RSN1235_CHICHI_CHY087-N.AT2 , RSN1235_CHICHI_CHY087-V.AT2  
39, SRSS, 1257, 0.4729, 1.0, -, 14.4, 25.9, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA003", 7.62, Reverse Oblique, 52.46, 56.14, 1525.85, 0.05, 1.0, RSN1257_CHICHI_HWA003-N.AT2, RSN1257_CHICHI_HWA003-W.AT2 , RSN1257_CHICHI_HWA003-V.AT2  
40, SRSS, 1259, 0.4231, 1.0, -, 9.9, 20.1, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA006", 7.62, Reverse Oblique, 43.49, 47.86, 559.11, 0.075, 1.0, RSN1259_CHICHI_HWA006-N.AT2, RSN1259_CHICHI_HWA006-W.AT2 , RSN1259_CHICHI_HWA006-V.AT2  
41, SRSS, 1267, 0.4184, 1.0, -, 10.1, 28.7, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA016", 7.62, Reverse Oblique, 48.19, 52.18, 576.55, 0.0625, 1.0, RSN1267_CHICHI_HWA016-E.AT2, RSN1267_CHICHI_HWA016-N.AT2 , RSN1267_CHICHI_HWA016-V.AT2  
42, SRSS, 1268, 0.4357, 1.0, -, 11.9, 22.4, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA017", 7.62, Reverse Oblique, 47.04, 51.11, 578.11, 0.025, 1.0, RSN1268_CHICHI_HWA017-E.AT2, RSN1268_CHICHI_HWA017-N.AT2 , RSN1268_CHICHI_HWA017-V.AT2  
43, SRSS, 1271, 0.3445, 1.0, -, 14.5, 22.3, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA022", 7.62, Reverse Oblique, 58.76, 62.07, 567.64, 0.025, 1.0, RSN1271_CHICHI_HWA022-E.AT2, RSN1271_CHICHI_HWA022-N.AT2 , RSN1271_CHICHI_HWA022-V.AT2  
44, SRSS, 1280, 0.3553, 1.0, -, 8.8, 20.4, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA031", 7.62, Reverse Oblique, 47.41, 51.46, 602.29, 0.025, 1.0, RSN1280_CHICHI_HWA031-E.AT2, RSN1280_CHICHI_HWA031-N.AT2 , RSN1280_CHICHI_HWA031-V.AT2  
45, SRSS, 1281, 0.1906, 1.0, -, 8.7, 17.9, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA032", 7.62, Reverse Oblique, 42.87, 47.31, 573.04, 0.625, 1.0, RSN1281_CHICHI_HWA032-E.AT2, RSN1281_CHICHI_HWA032-N.AT2 , RSN1281_CHICHI_HWA032-V.AT2  
46, SRSS, 1284, 0.4281, 1.0, -, 11.4, 22.0, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA035", 7.62, Reverse Oblique, 44.02, 48.35, 677.49, 0.025, 1.0, RSN1284_CHICHI_HWA035-E.AT2, RSN1284_CHICHI_HWA035-N.AT2 , RSN1284_CHICHI_HWA035-V.AT2  
47, SRSS, 1293, 0.4781, 1.0, -, 8.3, 17.3, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA046", 7.62, Reverse Oblique, 47.79, 51.8, 617.52, 0.025, 1.0, RSN1293_CHICHI_HWA046-N.AT2, RSN1293_CHICHI_HWA046-W.AT2 , RSN1293_CHICHI_HWA046-V.AT2  
